"","fec","post","hh_count_t_z"
"1",0,0,-1.34394667932589
"2",0,1,-1.30036011332182
"3",0,0,-0.981604491468242
"4",0,1,-1.30036011332182
"5",0,0,-2.05595114889878
"6",0,1,-1.43805139989721
"7",1,0,-0.981604491468242
"8",1,1,-0.318199810801485
"9",0,0,0.714957149867463
"10",0,1,1.04728463561474
"11",0,0,-0.392150035537285
"12",0,1,-0.104553730294941
"13",0,0,0.258079188632384
"14",0,1,0.180258234302433
"15",0,0,0.714957149867463
"16",0,1,-0.104553730294941
"17",0,0,0.714957149867463
"18",0,1,0.492734251970385
"19",0,0,0.363422336057054
"20",0,1,0.363422336057054
"21",1,0,0.356772595610791
"22",1,1,0.481193548939061
"23",0,0,-0.439644583857306
"24",0,1,-1.30036011332182
"25",1,0,0.130093409336314
"26",1,1,0.258079188632384
"27",0,0,1.14919705745728
"28",0,1,1.10693378191989
"29",1,0,-0.361832481791966
"30",1,1,-0.619090107557241
"31",0,0,0.714957149867463
"32",0,1,0.779640769927915
"33",0,0,-0.29025061473931
"34",0,1,-0.843796342528647
"35",0,0,0.714957149867463
"36",0,1,0.999782938048917
"37",0,0,0.0204423261077731
"38",0,1,-0.524875508990779
"39",1,0,-0.981604491468242
"40",1,1,-0.923910610122437
"41",0,0,0.258079188632384
"42",0,1,0.20432357971084
"43",1,0,0.687714460192433
"44",1,1,0.44565015408926
"45",0,0,0.714957149867463
"46",0,1,0.673775498261705
"47",0,0,0.714957149867463
"48",0,1,0.138652036749987
"49",0,0,1.69756275645972
"50",0,1,2.5171024607394
"51",0,0,-1.79984429331795
"52",0,1,-1.48909112094126
"53",0,0,0.0950156710320069
"54",0,1,0.258079188632384
"55",0,0,1.33491120561633
"56",0,1,1.44025731853961
"57",1,0,-1.14456563508831
"58",1,1,-0.423531255641535
"59",0,0,-1.43805139989721
"60",0,1,-0.981604491468242
"61",1,0,-1.60081894625857
"62",1,1,-1.04327572607159
"63",0,0,-0.361832481791966
"64",0,1,0.336521499214663
"65",1,0,-1.34394667932589
"66",1,1,-0.162272860471302
"67",1,0,-0.724407195487977
"68",1,1,1.71234672063064
"69",0,0,-0.981604491468242
"70",0,1,-0.680781738054251
"71",1,0,-0.524875508990779
"72",1,1,-0.619090107557241
"73",1,0,-1.48909112094126
"74",1,1,-1.34394667932589
"75",1,0,-1.10951316992677
"76",1,1,-0.724407195487977
"77",0,0,-1.18104686660105
"78",0,1,-0.843796342528647
"79",0,0,1.69756275645972
"80",0,1,0.350073046695033
"81",0,0,-0.794113262410558
"82",0,1,-0.724407195487977
"83",1,0,0.258079188632384
"84",1,1,0.0491408156518513
"85",1,0,-0.361832481791966
"86",1,1,0.258079188632384
"87",1,0,-2.2789485065264
"88",1,1,-1.79984429331795
"89",1,0,0.0950156710320069
"90",1,1,-0.104553730294941
"91",1,0,-0.659741634409517
"92",1,1,0.914537115243128
"93",1,0,1.21547972837013
"94",1,1,0.44565015408926
"95",1,0,-1.60081894625857
"96",1,1,-1.60081894625857
"99",0,0,0.542900295578864
"100",0,1,0.526488936794325
"101",1,0,0.526488936794325
"102",1,1,0.457655576573079
"103",1,0,-1.60081894625857
"104",1,1,-0.843796342528647
"105",1,0,-0.659741634409517
"106",1,1,-0.923910610122437
"107",1,0,-1.66238039207123
"108",1,1,-2.1605718924594
"109",1,0,-0.981604491468242
"110",1,1,-1.14456563508831
"111",1,0,-1.21907819726824
"112",1,1,0.463598395425295
"113",1,0,-1.96223572300918
"114",1,1,-2.05595114889878
"115",1,0,-1.96223572300918
"116",1,1,-2.77034508629007
"117",0,0,-0.361832481791966
"118",0,1,0.537463232244068
